gene	syn	description	protein	fun_desc	essential
hycE	hevE	"Hydrogenase 3 large subunit, [NiFe] cluster; heterodimer"	"hydrogenase 3, large subunit"	"Enzyme; Energy metabolism, carbon: Fermentation"	N
hycF	hevF	Formate hydrogenlyase complex iron-sulfur protein	formate hydrogenlyase complex iron-sulfur protein	"Putative enzyme; Energy metabolism, carbon: Fermentation"	N
hycG	hevG	Hydrogenase 3 small subunit	"hydrogenase 3 and formate hydrogenase complex, HycG subunit"	"Phenotype; Energy metabolism, carbon: Fermentation"	N
hycH	hevH	Required for converting HycE precursor to mature Hyd-3 large subunit	protein required for maturation of hydrogenase 3	"Factor; Energy metabolism, carbon: Fermentation"	N
hycI	None	Maturation endoprotease for Hydrogenase 3 large subunit HycE	protease involved in processing C-terminal end of HycE	"Enzyme; Degradation of proteins, peptides, glyco"	N
hydN	None	Iron-sulfur protein required for Hyd-3 activity	"formate dehydrogenase-H, [4Fe-4S] ferredoxin subunit"	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hyfA	yffE	"Hydrogenase 4 component A, ferrodexin-like"	"hydrogenase 4, 4Fe-4S subunit"	"Putative enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hyfB	yffF	Putative hydrogenase 4 component B; membrane protein of Hyf electron transfer complex of FHL system	"hydrogenase 4, membrane subunit"	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hyfC	None	Putative hydrogenase 4 component C; membrane protein of Hyf electron transfer complex of FHL system	"hydrogenase 4, membrane subunit"	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hyfD	None	Putative hydrogenase 4 component D; membrane protein of Hyf electron transfer complex of FHL system	"hydrogenase 4, membrane subunit"	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hyfE	None	Hydrogenase 4 component E; membrane protein of Hyf electron transfer complex of FHL system	"hydrogenase 4, membrane subunit"	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hyfF	None	Putative hydrogenase 4 component F; membrane protein of Hyf electron transfer complex of FHL system	"hydrogenase 4, membrane subunit"	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hyfG	None	Putative hydrogenase 4 component G; membrane protein of Hyf electron transfer complex of FHL system	"hydrogenase 4, subunit"	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hyfH	None	Hydrogenase 4 component H; membrane protein of Hyf electron transfer complex of FHL system	"hydrogenase 4, Fe-S subunit"	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hyfI	None	Hydrogenase 4 component I; membrane protein of Hyf electron transfer complex of FHL system	"hydrogenase 4, Fe-S subunit"	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hyfJ	None	Hydrogenase 4 component J; membrane protein of Hyf electron transfer complex of FHL system	predicted processing element hydrogenase 4	Putative factor; Not classified	N
hyfR	None	Formate-sensing regulator for hyf operon	"DNA-binding transcriptional activator, formate sensing"	Putative regulator; Not classified	N
hyi	"gip, ybbG"	"Hydroxypyruvate isomerase, glyoxylate-inducible; product is tartronate semialdehyde"	hydroxypyruvate isomerase	Phenotype; Not classified	N
hypA	None	Hydrogenase 3 accessory protein required for activity; zinc metalloproein	protein involved in nickel insertion into hydrogenases 3	"Phenotype; Energy metabolism, carbon: Anaerobic respiration"	N
hypB	"hydB, hydE"	"Required for metallocenter assembly in Hydrogenases 1,2,3; guanine-nucleotide-binding protein; Ni donor for Hyd-3 large subunit; homodimeric"	GTP hydrolase involved in nickel liganding into hydrogenases	"Phenotype; Energy metabolism, carbon: Fermentation"	N
hypC	None	"Hydrogenase 3 chaperone-type protein; required for Hyd-3 metallocenter assembly, binds HycE subunit"	protein required for maturation of hydrogenases 1 and 3	"Phenotype; Energy metabolism, carbon: Anaerobic respiration"	N
hypD	hydF	"Hydrogenases 1,2,3 accessory protein; required for metallocenter assembly"	protein required for maturation of hydrogenases	"Phenotype; Energy metabolism, carbon: Anaerobic respiration"	N
hypE	hydB	"Hydrogenases 1,2,3 accessory protein, carbamoyl dehydratase; required for CN ligand synthesis at the metallocenter; converts thiocarbamate at its C-terminal Cys to a thiocyanate"	"carbamoyl dehydratase, hydrogenases 1,2,3 maturation protein"	"Factor; Energy metabolism, carbon: Anaerobic respiration"	N
hypF	hydA	"Hydrogenases 1,2,3 accessory protein; required for CN ligand synthesis at the metallocenter; HypF carbamoyltransferase activity forms thiocarbamate at terminal Cys of HypE; monomeric"	carbamoyl phosphate phosphatase and maturation protein for [NiFe] hydrogenases	"Regulator; Energy metabolism, carbon: Anaerobic respiration"	N
hyuA	ygeZ	D-stereospecific phenylhydantoinase; physiological function unknown	D-stereospecific phenylhydantoinase	Null	N
iaaA	"spt, ybiK"	"isoAsp aminopeptidase, cleaves isoAsp-X dipeptides; Ntn hydrolase; glutathione utilization; weak L-asparaginase activity in vitro (EcAIII); precursor is cleaved into an alpha and beta subunit; heterotetrameric"	Isoaspartyl peptidase 	Orf; Not classified	N
iadA	yjiF	Isoaspartyl dipeptidase	isoaspartyl dipeptidase	"Enzyme; Degradation of proteins, peptides, glyco"	N
iap	None	Alkaline phosphatase isozyme conversion aminopeptidase; generates alkaline phosphatase isozyme 3 subunit lacking the N-terminal Arg	aminopeptidase in alkaline phosphatase isozyme conversion	Enzyme; Proteins - translation and modification	N
ibaG	yrbA	"Acid stress protein; predicted transcriptional regulator, BolA family; low abundance protein"	"acid stress protein; predicted transcriptional regulator, BolA family"	Null	N
ibpA	"hslT, htpN"	"Chaperone, heat-inducible protein of HSP20 family"	heat shock chaperone	"Factor; Adaptations, atypical conditions"	N
ibpB	"hslS, htpE"	"Chaperone, heat-inducible protein of HSP20 family"	heat shock chaperone	"Factor; Adaptations, atypical conditions"	N
ibsA	None	"Toxic membrane protein, in SIBa repeat"	toxic membrane protein	Null	N
ibsB	None	"Toxic membrane protein, in SIBb repeat"	toxic membrane protein	Null	N
ibsC	None	"Toxic membrane protein, in SIBc repeat"	toxic membrane protein	Null	N
ibsD	None	"Toxic membrane protein, in SIBd repeat"	toxic membrane protein	Null	N
ibsE	None	"Toxic membrane protein, in SIBe repeat"	toxic membrane protein	Null	N
icd	"icdA, icdE"	"Isocitrate dehydrogenase, NADP(+)-specific; e14 attachment site"	"e14 prophage; isocitrate dehydrogenase, specific for NADP+"	"Enzyme; Energy metabolism, carbon: TCA cycle; Phage or Prophage Related"	N
iclR	None	Repressor of aceBA operon	DNA-binding transcriptional repressor	Regulator; Central intermediary metabolism: Glyoxylate bypass	N
idi	ygfV	"Isopentenyl diphosphate isomerase, isoprenoid biosynthesis; interconverts isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP)"	isopentenyl diphosphate isomerase	Putative enzyme; Not classified	N
idnD	yjgV	L-Idonate 5-dehydrogenase	"L-idonate 5-dehydrogenase, NAD-binding"	Putative enzyme; Not classified	N
idnK	gntV	D-Gluconate kinase	"D-gluconate kinase, thermosensitive"	Enzyme; Degradation of small molecules: Carbon compounds	N
idnO	yjgU	5-keto-D-Gluconate 5-reductase	5-keto-D-gluconate-5-reductase	Putative enzyme; Not classified	N
idnR	"gntH, gntS?, yjgS"	idn operon activator; represses GntR-regulated genes gntKU and gntT	"DNA-binding transcriptional repressor, 5-gluconate-binding"	Putative regulator; Not classified	N
idnT	"gntW, yjgT"	"L-Idonate transporter; also transports 5-keto-D-gluconate (Reed, 2006) "	L-idonate and D-gluconate transporter	Putative transport; Not classified	N
ihfA	"hid, himA"	"Integration Host Factor (IHF), alpha subunit; host infection, mutant phage lambda; site-specific recombination; sequence-specific DNA-binding transcriptional activator"	"integration host factor (IHF), DNA-binding protein, alpha subunit"	"Factor; DNA - replication, repair, restriction/modification"	N
ihfB	"himD, hip"	"Integration Host Factor (IHF), beta subunit; host infection, mutant phage lambda; site-specific recombination; sequence-specific DNA-binding transcriptional activator"	"integration host factor (IHF), DNA-binding protein, beta subunit"	"Factor; DNA - replication, repair, restriction/modification"	N
ileS	ilvS	Isoleucine--tRNA ligase	isoleucyl-tRNA synthetase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	Y
ileT	tilA	"Isoleucine tRNA(GAU) 1, triplicate"	Null	Null	N
ileU	tilD	"Isoleucine tRNA(GAU) 1, triplicate"	Null	Null	N
ileV	None	"Isoleucine tRNA(GAU) 1, triplicate"	Null	Null	N
ileX	None	Isoleucine tRNA(CAU) 2	Null	Null	N
ileY	None	Isoleucine tRNA(GAU) 2 variant	Null	Null	N
ilvA	None	"Threonine deaminase; also known as threonine dehydratase, biosynthetic"	threonine deaminase	"Enzyme; Amino acid biosynthesis: Isoleucine, Valine"	N
ilvB	None	Acetohydroxy acid synthase I (AHAS-I); acetolactate synthase I (ALS-I); valine sensitive; large subunit	"acetolactate synthase I, large subunit"	"Enzyme; Amino acid biosynthesis: Isoleucine, Valine"	N
ilvC	None	Ketol-acid reductoisomerase	"ketol-acid reductoisomerase, NAD(P)-binding"	"Enzyme; Amino acid biosynthesis: Isoleucine, Valine"	N
ilvD	None	Dihydroxyacid dehydratase; homodimeric	dihydroxyacid dehydratase	"Enzyme; Amino acid biosynthesis: Isoleucine, Valine|1.5.1.18 metabolism; building block biosynthesis; amino acids; isoleucine/valine"	N
ilvE	None	Branched-chain amino acid aminotransferase; transaminase B; dimer of trimers	branched-chain amino-acid aminotransferase	"Enzyme; Amino acid biosynthesis: Isoleucine, Valine"	N
ilvH	brnP	Acetohydroxy acid synthase III (AHAS-III) regulatory subunit; acetolactate synthase III (ALS-III); valine sensitive; small subunit	"acetolactate synthase III, thiamin-dependent, small subunit"	"Enzyme; Amino acid biosynthesis: Isoleucine, Valine"	N
ilvI	None	Acetohydroxy acid synthase III (AHAS-III); acetolactate synthase III (ALS-III); valine sensitive; large subunit	"acetolactate synthase III, large subunit"	"Enzyme; Amino acid biosynthesis: Isoleucine, Valine"	N
ilvL	None	ilvG operon leader peptide	ilvG operon leader peptide	"Leader; Amino acid biosynthesis: Isoleucine, Valine"	N
ilvM	None	Acetohydroxy acid synthase II (AHAS-II) regulatory subunit; acetolactate synthase II (ALS-II); valine insensitive; small subunit	"acetolactate synthase II, small subunit"	"Enzyme; Amino acid biosynthesis: Isoleucine, Valine"	N
ilvN	None	Acetohydroxy acid synthase I (AHAS-I) regulatory subunit; acetolactate synthase I (ALS-I); valine sensitive; small subunit	"acetolactate synthase I, small subunit"	"Enzyme; Amino acid biosynthesis: Isoleucine, Valine"	N
ilvX	None	"Expressed protein, function unknown"	expressed protein	Null	N
ilvY	None	Transcriptional activator for ilvC	DNA-binding transcriptional dual regulator	"Regulator; Amino acid biosynthesis: Isoleucine, Valine"	N
inaA	yfaG	"Protein induced by acid, function unknown; independent of SoxRS regulation"	"conserved protein, acid-induced"	"Phenotype; Adaptations, atypical conditions"	N
infA	bypA1	Protein chain initiation factor IF1	translation initiation factor IF-1	Factor; Proteins - translation and modification	N
infB	"gicD, ssyG"	Protein chain initiation factor IF2	"fused protein chain initiation factor 2, IF2: membrane protein/conserved protein"	Factor; Proteins - translation and modification	Y
infC	"fit, srjA"	Protein chain initiation factor IF3; unusual AUU start codon	protein chain initiation factor IF-3	Factor; Proteins - translation and modification	Y
insA1	None	IS1 transposase A	IS1 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insA2	None	IS1 transposase A	IS1 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insA3	None	IS1 transposase A	IS1 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insA4	None	IS1 transposase A	IS1 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insA5	None	IS1 transposase A	IS1 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insA6	None	IS1 transposase A	IS1 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insA8	None	IS1 transposase A	IS1 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insB1	None	IS1 transposase B	IS1 transposase B	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insB2	None	IS1 transposase B	IS1 transposase B	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insB3	None	IS1 transposase B	IS1 transposase B	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insB4	None	IS1 transposase B	IS1 transposase B	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insB5	None	IS1 transposase B	IS1 transposase B	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insB8	None	IS1 transposase B	IS1 transposase B	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insC1	None	IS2 transposase A	IS2 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insC11	None	IS2 transposase A	IS2 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insC4	None	IS2 transposase A	IS2 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insC6	None	IS2 transposase A	IS2 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insC8	None	IS2 transposase A	IS2 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insC9	None	IS2 transposase A	IS2 repressor TnpA	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insD1	None	IS2 transposase B	IS2 transposase TnpB	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insD11	None	IS2 transposase B	IS2 transposase TnpB	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insD4	None	IS2 transposase B	IS2 transposase TnpB	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insD6	None	IS2 transposase B	IS2 transposase TnpB	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insD8	None	IS2 transposase B	IS2 transposase TnpB	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insD9	None	IS2 transposase B	IS2 transposase TnpB	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insE1	None	IS3 transposase A	IS3 transposase A	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insE2	None	IS3 transposase A	IS3 transposase A	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insE3	None	IS3 transposase A	IS3 transposase A	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insE4	None	IS3 transposase A	IS3 transposase A	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insE5	None	IS3 transposase A	IS3 transposase A	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insF1	None	IS3 transposase B	IS3 transposase B	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
insF2	None	IS3 transposase B	IS3 transposase B	"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related"	N
